Country,date,Cancer cases
Japan,Jan 1 2000,1424525
Japan,Feb 1 2000,1833653
Japan,Mar 1 2000,1365979
Japan,Apr 1 2000,963015
Japan,May 1 2000,1808118
Japan,Jun 1 2000,1437306
Japan,Jul 1 2000,1537240
Japan,Aug 1 2000,945248
Japan,Sep 1 2000,1340311
Japan,Oct 1 2000,1363526
Japan,Nov 1 2000,1537087
Japan,Dec 1 2000,1707674
Japan,Jan 1 2001,1330767
Japan,Feb 1 2001,1168154
Japan,Mar 1 2001,1364985
Japan,Apr 1 2001,1893073
Japan,May 1 2001,1491089
Japan,Jun 1 2001,1707824
Japan,Jul 1 2001,1839359
Japan,Aug 1 2001,1432428
Japan,Sep 1 2001,1488695
Japan,Oct 1 2001,1412538
Japan,Nov 1 2001,1141651
Japan,Dec 1 2001,1591405
Japan,Jan 1 2002,1014176
Japan,Feb 1 2002,1521168
Japan,Mar 1 2002,956885
Japan,Apr 1 2002,1190862
Japan,May 1 2002,1030366
Japan,Jun 1 2002,1556115
Japan,Jul 1 2002,1833881
Japan,Aug 1 2002,1691039
Japan,Sep 1 2002,1709404
Japan,Oct 1 2002,1852668
Japan,Nov 1 2002,1728978
Japan,Dec 1 2002,1648795
Japan,Jan 1 2003,1548875
Japan,Feb 1 2003,1345091
Japan,Mar 1 2003,1414599
Japan,Apr 1 2003,1795057
Japan,May 1 2003,1305914
Japan,Jun 1 2003,1891781
Japan,Jul 1 2003,1040863
Japan,Aug 1 2003,1225475
Japan,Sep 1 2003,1467116
Japan,Oct 1 2003,1276169
Japan,Nov 1 2003,1282980
Japan,Dec 1 2003,1495579
Japan,Jan 1 2004,1125925
Japan,Feb 1 2004,1385747
Japan,Mar 1 2004,1541296
Japan,Apr 1 2004,1378521
Japan,May 1 2004,1063878
Japan,Jun 1 2004,1327437
Japan,Jul 1 2004,1261432
Japan,Aug 1 2004,1035710
Japan,Sep 1 2004,1251594
Japan,Oct 1 2004,1344346
Japan,Nov 1 2004,1580727
Japan,Dec 1 2004,928957
Japan,Jan 1 2005,1231420
Japan,Feb 1 2005,1000170
Japan,Mar 1 2005,1396439
Japan,Apr 1 2005,1264544
Japan,May 1 2005,1422109
Japan,Jun 1 2005,1439211
Japan,Jul 1 2005,1284111
Japan,Aug 1 2005,1708065
Japan,Sep 1 2005,1843187
Japan,Oct 1 2005,1595345
Japan,Nov 1 2005,919718
Japan,Dec 1 2005,1888565
Japan,Jan 1 2006,1597778
Japan,Feb 1 2006,1247350
Japan,Mar 1 2006,1022897
Japan,Apr 1 2006,1267048
Japan,May 1 2006,1129805
Japan,Jun 1 2006,915126
Japan,Jul 1 2006,1448495
Japan,Aug 1 2006,1022456
Japan,Sep 1 2006,1705816
Japan,Oct 1 2006,1645316
Japan,Nov 1 2006,1721553
Japan,Dec 1 2006,1092428
Japan,Jan 1 2007,1637575
Japan,Feb 1 2007,1675880
Japan,Mar 1 2007,1448366
Japan,Apr 1 2007,1335971
Japan,May 1 2007,1823417
Japan,Jun 1 2007,1453501
Japan,Jul 1 2007,1727032
Japan,Aug 1 2007,979347
Japan,Sep 1 2007,1567743
Japan,Oct 1 2007,1661004
Japan,Nov 1 2007,1400403
Japan,Dec 1 2007,1677541
Japan,Jan 1 2008,1609088
Japan,Feb 1 2008,1038937
Japan,Mar 1 2008,1512352
Japan,Apr 1 2008,1552548
Japan,May 1 2008,1855321
Japan,Jun 1 2008,1288140
Japan,Jul 1 2008,1479408
Japan,Aug 1 2008,1887742
Japan,Sep 1 2008,1042591
Japan,Oct 1 2008,1793994
Japan,Nov 1 2008,1540637
Japan,Dec 1 2008,974611
Japan,Jan 1 2009,1408391
Japan,Feb 1 2009,1251934
Japan,Mar 1 2009,1169616
Japan,Apr 1 2009,1311014
Japan,May 1 2009,1576442
Japan,Jun 1 2009,1259533
Japan,Jul 1 2009,1192739
Japan,Aug 1 2009,1854689
Japan,Sep 1 2009,1792936
Japan,Oct 1 2009,1121554
Japan,Nov 1 2009,1431239
Japan,Dec 1 2009,1785659
Japan,Jan 1 2010,1415139
Japan,Feb 1 2010,980065
Japan,Mar 1 2010,1174679
Russia,Jan 1 2000,2518473
Russia,Feb 1 2000,2701073
Russia,Mar 1 2000,4276490
Russia,Apr 1 2000,2053669
Russia,May 1 2000,3222481
Russia,Jun 1 2000,3724845
Russia,Jul 1 2000,4078628
Russia,Aug 1 2000,4923571
Russia,Sep 1 2000,2798695
Russia,Oct 1 2000,3468578
Russia,Nov 1 2000,4408762
Russia,Dec 1 2000,1930704
Russia,Jan 1 2001,3052484
Russia,Feb 1 2001,3581925
Russia,Mar 1 2001,3268931
Russia,Apr 1 2001,3875260
Russia,May 1 2001,2867762
Russia,Jun 1 2001,4912893
Russia,Jul 1 2001,2140398
Russia,Aug 1 2001,3530084
Russia,Sep 1 2001,2530720
Russia,Oct 1 2001,4653255
Russia,Nov 1 2001,4963247
Russia,Dec 1 2001,2867372
Russia,Jan 1 2002,4969034
Russia,Feb 1 2002,2378522
Russia,Mar 1 2002,4201775
Russia,Apr 1 2002,4006072
Russia,May 1 2002,2602890
Russia,Jun 1 2002,3916217
Russia,Jul 1 2002,3531530
Russia,Aug 1 2002,3147770
Russia,Sep 1 2002,3738579
Russia,Oct 1 2002,2478455
Russia,Nov 1 2002,4626433
Russia,Dec 1 2002,4166631
Russia,Jan 1 2003,2308488
Russia,Feb 1 2003,3285664
Russia,Mar 1 2003,3890257
Russia,Apr 1 2003,3529238
Russia,May 1 2003,3525259
Russia,Jun 1 2003,4818913
Russia,Jul 1 2003,4684982
Russia,Aug 1 2003,3142921
Russia,Sep 1 2003,4238444
Russia,Oct 1 2003,4201902
Russia,Nov 1 2003,2274807
Russia,Dec 1 2003,4674328
Russia,Jan 1 2004,3614197
Russia,Feb 1 2004,3143353
Russia,Mar 1 2004,3492838
Russia,Apr 1 2004,3984535
Russia,May 1 2004,4724661
Russia,Jun 1 2004,4376658
Russia,Jul 1 2004,4484934
Russia,Aug 1 2004,4482043
Russia,Sep 1 2004,3796608
Russia,Oct 1 2004,2755603
Russia,Nov 1 2004,2122828
Russia,Dec 1 2004,4179475
Russia,Jan 1 2005,4271502
Russia,Feb 1 2005,3147183
Russia,Mar 1 2005,4165323
Russia,Apr 1 2005,2575367
Russia,May 1 2005,3824376
Russia,Jun 1 2005,4255709
Russia,Jul 1 2005,4462584
Russia,Aug 1 2005,2014231
Russia,Sep 1 2005,2657578
Russia,Oct 1 2005,4490262
Russia,Nov 1 2005,4076175
Russia,Dec 1 2005,2358787
Russia,Jan 1 2006,3592729
Russia,Feb 1 2006,3335647
Russia,Mar 1 2006,2227634
Russia,Apr 1 2006,3999182
Russia,May 1 2006,2598446
Russia,Jun 1 2006,3937831
Russia,Jul 1 2006,2178688
Russia,Aug 1 2006,4111642
Russia,Sep 1 2006,3282549
Russia,Oct 1 2006,4046608
Russia,Nov 1 2006,4733965
Russia,Dec 1 2006,3319845
Russia,Jan 1 2007,2511637
Russia,Feb 1 2007,4222610
Russia,Mar 1 2007,2702799
Russia,Apr 1 2007,3462839
Russia,May 1 2007,1918655
Russia,Jun 1 2007,3464316
Russia,Jul 1 2007,3863695
Russia,Aug 1 2007,1946916
Russia,Sep 1 2007,4525179
Russia,Oct 1 2007,1978976
Russia,Nov 1 2007,3254435
Russia,Dec 1 2007,4688257
Russia,Jan 1 2008,2207561
Russia,Feb 1 2008,3353294
Russia,Mar 1 2008,2539522
Russia,Apr 1 2008,4303734
Russia,May 1 2008,4446628
Russia,Jun 1 2008,2493115
Russia,Jul 1 2008,2700303
Russia,Aug 1 2008,4063906
Russia,Sep 1 2008,2737827
Russia,Oct 1 2008,4533860
Russia,Nov 1 2008,1986515
Russia,Dec 1 2008,2392813
Russia,Jan 1 2009,4097592
Russia,Feb 1 2009,4351501
Russia,Mar 1 2009,3950431
Russia,Apr 1 2009,2909234
Russia,May 1 2009,3138888
Russia,Jun 1 2009,3256488
Russia,Jul 1 2009,4264656
Russia,Aug 1 2009,4733910
Russia,Sep 1 2009,2755464
Russia,Oct 1 2009,2040899
Russia,Nov 1 2009,3758510
Russia,Dec 1 2009,3927690
Russia,Jan 1 2010,3556288
Russia,Feb 1 2010,4843694
Russia,Mar 1 2010,3291077
Indonesia,Jan 1 2000,1271421
Indonesia,Feb 1 2000,1839655
Indonesia,Mar 1 2000,1082616
Indonesia,Apr 1 2000,1553425
Indonesia,May 1 2000,1058171
Indonesia,Jun 1 2000,1271715
Indonesia,Jul 1 2000,1804093
Indonesia,Aug 1 2000,1541169
Indonesia,Sep 1 2000,1479823
Indonesia,Oct 1 2000,1764991
Indonesia,Nov 1 2000,1428546
Indonesia,Dec 1 2000,1461987
Indonesia,Jan 1 2001,1321073
Indonesia,Feb 1 2001,1382004
Indonesia,Mar 1 2001,1065923
Indonesia,Apr 1 2001,1515077
Indonesia,May 1 2001,1668197
Indonesia,Jun 1 2001,1390851
Indonesia,Jul 1 2001,1587544
Indonesia,Aug 1 2001,1261177
Indonesia,Sep 1 2001,1664986
Indonesia,Oct 1 2001,966889
Indonesia,Nov 1 2001,1252315
Indonesia,Dec 1 2001,1103117
Indonesia,Jan 1 2002,1156350
Indonesia,Feb 1 2002,1206145
Indonesia,Mar 1 2002,1796885
Indonesia,Apr 1 2002,1171759
Indonesia,May 1 2002,1250910
Indonesia,Jun 1 2002,1429266
Indonesia,Jul 1 2002,1109874
Indonesia,Aug 1 2002,1144996
Indonesia,Sep 1 2002,1855969
Indonesia,Oct 1 2002,1839722
Indonesia,Nov 1 2002,1542436
Indonesia,Dec 1 2002,1777613
Indonesia,Jan 1 2003,1816840
Indonesia,Feb 1 2003,1765178
Indonesia,Mar 1 2003,1706526
Indonesia,Apr 1 2003,1390767
Indonesia,May 1 2003,1145306
Indonesia,Jun 1 2003,1807653
Indonesia,Jul 1 2003,1452725
Indonesia,Aug 1 2003,1348786
Indonesia,Sep 1 2003,1887296
Indonesia,Oct 1 2003,1521459
Indonesia,Nov 1 2003,1399945
Indonesia,Dec 1 2003,1790412
Indonesia,Jan 1 2004,1681793
Indonesia,Feb 1 2004,982624
Indonesia,Mar 1 2004,1047089
Indonesia,Apr 1 2004,1743436
Indonesia,May 1 2004,1666182
Indonesia,Jun 1 2004,1719918
Indonesia,Jul 1 2004,1125996
Indonesia,Aug 1 2004,1146040
Indonesia,Sep 1 2004,1668134
Indonesia,Oct 1 2004,1845997
Indonesia,Nov 1 2004,1126941
Indonesia,Dec 1 2004,1606180
Indonesia,Jan 1 2005,1305494
Indonesia,Feb 1 2005,1117388
Indonesia,Mar 1 2005,1063083
Indonesia,Apr 1 2005,1179014
Indonesia,May 1 2005,1501110
Indonesia,Jun 1 2005,1208059
Indonesia,Jul 1 2005,930751
Indonesia,Aug 1 2005,1361621
Indonesia,Sep 1 2005,1457382
Indonesia,Oct 1 2005,990805
Indonesia,Nov 1 2005,1493294
Indonesia,Dec 1 2005,1433281
Indonesia,Jan 1 2006,1160108
Indonesia,Feb 1 2006,1145742
Indonesia,Mar 1 2006,1424951
Indonesia,Apr 1 2006,1217722
Indonesia,May 1 2006,1086935
Indonesia,Jun 1 2006,1391359
Indonesia,Jul 1 2006,1242902
Indonesia,Aug 1 2006,912273
Indonesia,Sep 1 2006,1870010
Indonesia,Oct 1 2006,1889014
Indonesia,Nov 1 2006,1684697
Indonesia,Dec 1 2006,1282160
Indonesia,Jan 1 2007,1112381
Indonesia,Feb 1 2007,1402876
Indonesia,Mar 1 2007,1701045
Indonesia,Apr 1 2007,1852174
Indonesia,May 1 2007,1839218
Indonesia,Jun 1 2007,1850730
Indonesia,Jul 1 2007,1333323
Indonesia,Aug 1 2007,1778377
Indonesia,Sep 1 2007,1494673
Indonesia,Oct 1 2007,1510403
Indonesia,Nov 1 2007,1683135
Indonesia,Dec 1 2007,1068877
Indonesia,Jan 1 2008,1647722
Indonesia,Feb 1 2008,1038703
Indonesia,Mar 1 2008,1576362
Indonesia,Apr 1 2008,1321079
Indonesia,May 1 2008,1561234
Indonesia,Jun 1 2008,1671447
Indonesia,Jul 1 2008,1359822
Indonesia,Aug 1 2008,1823966
Indonesia,Sep 1 2008,1197285
Indonesia,Oct 1 2008,1271976
Indonesia,Nov 1 2008,1512102
Indonesia,Dec 1 2008,1377122
Indonesia,Jan 1 2009,1554006
Indonesia,Feb 1 2009,1480875
Indonesia,Mar 1 2009,1212433
Indonesia,Apr 1 2009,1117550
Indonesia,May 1 2009,1436914
